DO_org,DO_w,DO_b,DO_g,,,,DOE_w,DOE_b,DOE_g
7.57825215,7.569668259,7.611028222,7.616017239,,,,0.008583891,-0.032776072,-0.037765089
7.5768231,7.567344983,7.608721422,7.614086993,,,,0.009478117,-0.031898322,-0.037263893
7.6139784,7.604608691,7.645992,7.649406055,,,,0.009369709,-0.0320136,-0.035427655
7.58968455,7.579819102,7.621189323,7.625750326,,,,0.009865448,-0.031504773,-0.036065776
7.5968298,7.588036807,7.629402915,7.633457617,,,,0.008792993,-0.032573115,-0.036627817
7.6139784,7.604718942,7.646114326,7.649680583,,,,0.009259458,-0.032135926,-0.035702183
7.61254935,7.603927335,7.645327114,7.648992389,,,,0.008622015,-0.032777764,-0.036443039
7.5825393,7.573931725,7.615302699,7.620206337,,,,0.008607575,-0.032763399,-0.037667037
7.5968298,7.587319966,7.628714996,7.633207255,,,,0.009509834,-0.031885196,-0.036377455
7.5768231,7.567228146,7.60860318,7.61395482,,,,0.009594954,-0.03178008,-0.03713172
7.6082622,7.59826338,7.639659524,7.643574227,,,,0.00999882,-0.031397324,-0.035312027
7.5968298,7.587222416,7.628598039,7.63282681,,,,0.009607384,-0.031768239,-0.03599701
7.59825885,7.588425433,7.629809796,7.634093363,,,,0.009833417,-0.031550946,-0.035834513
7.5968298,7.587658925,7.629025983,7.633113939,,,,0.009170875,-0.032196183,-0.036284139
7.6111203,7.602117145,7.643502147,7.647066724,,,,0.009003155,-0.032381847,-0.035946424
7.5996879,7.590390456,7.631767963,7.635851211,,,,0.009297444,-0.032080063,-0.036163311
7.5768231,7.567000913,7.608369418,7.613637998,,,,0.009822187,-0.031546318,-0.036814898
7.59254265,7.583401761,7.624793134,7.629452088,,,,0.009140889,-0.032250484,-0.036909438
7.60111695,7.591890402,7.633265019,7.637228755,,,,0.009226548,-0.032148069,-0.036111805
7.59254265,7.583192495,7.624562693,7.628936769,,,,0.009350155,-0.032020043,-0.036394119
