DO_org,DO_w,DO_b,DO_g,,,,DOE_w,DOE_b,DOE_g,DOPE_w,DOPE_b,DOPE_g,DOR_w,DOR_b,DOR_g
8.1548,6.720063757,6.758100305,6.765051033,,,,1.434736243,1.396699695,1.389748967,0,0,0,,,
8.1587,6.718160465,6.756189739,6.763160151,,,,1.440539535,1.402510261,1.395539849,,,,,,
8.1589,6.717132904,6.755158211,6.762138115,,,,1.441767096,1.403741789,1.396761885,,,,,,
8.1536,6.717627287,6.755654264,6.762622232,,,,1.435972713,1.397945736,1.390977768,,,,,,
8.145,6.718616206,6.756646519,6.763590625,,,,1.426383794,1.388353481,1.381409375,,,,,,
8.1347,6.719376756,6.757409417,6.764328625,,,,1.415323244,1.377290583,1.370371375,,,,,,
8.1196,6.720784552,6.758821877,6.765704977,,,,1.398815448,1.360778123,1.353895023,,,,,,
8.0993,6.722992331,6.761037048,6.767866461,,,,1.376307669,1.338262952,1.331433539,,,,,,
8.0776,6.725048592,6.763100027,6.769875108,,,,1.352551408,1.314499973,1.307724892,,,,,,
8.0564,6.726686409,6.764742981,6.771468948,,,,1.329713591,1.291657019,1.284931052,,,,,,
8.0357,6.723843491,6.761886404,6.768557148,,,,1.311856509,1.273813596,1.267142852,,,,,,
8.0172,6.723899832,6.761942268,6.768592108,,,,1.293300168,1.255257732,1.248607892,,,,,,
7.9978,6.724165911,6.762208769,6.768838664,,,,1.273634089,1.235591231,1.228961336,,,,,,
7.9752,6.724470148,6.762513591,6.769123722,,,,1.250729852,1.212686409,1.206076278,,,,,,
7.9523,6.724717484,6.762761506,6.769358667,,,,1.227582516,1.189538494,1.182941333,,,,,,
7.9291,6.724727018,6.762771082,6.769368285,,,,1.204372982,1.166328918,1.159731715,,,,,,
7.9166,6.724731786,6.76277587,6.769373095,,,,1.191868214,1.15382413,1.147226905,,,,,,
7.8968,6.724505901,6.762549498,6.76915979,,,,1.172294099,1.134250502,1.12764021,,,,,,
7.872,6.724164719,6.762207572,6.768837461,,,,1.147835281,1.109792428,1.103162539,,,,,,
7.84285,6.723821781,6.761863882,6.768513368,,,,1.119028219,1.080986118,1.074336632,,,,,,
7.810675,6.723250987,6.761291832,6.767974001,,,,1.087424013,1.049383168,1.042700999,,,,,,
7.7766875,6.722851546,6.760891509,6.76759657,,,,1.053835954,1.015795991,1.00909093,,,,,,
7.74084375,6.722081532,6.760119789,6.76686903,,,,1.018762218,0.980723961,0.97397472,,,,,,
7.703271875,6.721810631,6.759848285,6.76661308,,,,0.981461244,0.94342359,0.936658795,,,,,,
7.666085938,6.721946042,6.759983997,6.766741014,,,,0.944139896,0.906101941,0.899344924,,,,,,
7.631742969,6.722013749,6.760051855,6.766804983,,,,0.90972922,0.871691114,0.864937986,,,,,,
7.606771484,6.722047604,6.760085785,6.766836969,,,,0.88472388,0.846685699,0.839934515,,,,,,
7.594285742,6.72206453,6.760102749,6.766852961,,,,0.872221212,0.834182993,0.827432781,,,,,,
7.588042871,6.721273773,6.759308573,6.766054665,,,,0.866769098,0.828734298,0.821988206,,,,,,
7.584921436,6.719049381,6.757074603,6.763810304,,,,0.865872055,0.827846833,0.821111132,,,,,,
7.583360718,6.71536663,6.753376001,6.760094758,,,,0.867994088,0.829984717,0.82326596,,,,,,
7.582580359,6.710138753,6.748125623,6.754820354,,,,0.872441606,0.834454736,0.827760005,,,,,,
7.5689,6.704199134,6.742160436,6.748827778,,,,0.864700866,0.826739564,0.820072222,,,,,,
7.5777,6.698812594,6.736749973,6.743370332,,,,0.878887406,0.840950027,0.834329668,,,,,,
7.5818,6.693767553,6.731683075,6.738276016,,,,0.888032447,0.850116925,0.843523984,,,,,,
7.577,6.689892639,6.727791537,6.734368386,,,,0.887107361,0.849208463,0.842631614,,,,,,
7.5691,6.687425107,6.725313408,6.731879706,,,,0.881674893,0.843786592,0.837220294,,,,,,
7.5624,6.686191684,6.724074687,6.730635702,,,,0.876208316,0.838325313,0.831764298,,,,,,
7.5498,6.685575058,6.723455413,6.730013784,,,,0.864224942,0.826344587,0.819786216,,,,,,
7.5304,6.685266767,6.723145797,6.729702846,,,,0.845133233,0.807254203,0.800697154,,,,,,
7.5092,6.685112626,6.722990995,6.729547382,,,,0.824087374,0.786209005,0.779652618,,,,,,
7.4879,6.684693639,6.722570204,6.729124656,,,,0.803206361,0.765329796,0.758775344,,,,,,
7.4667,6.68529287,6.723171063,6.729699306,,,,0.78140713,0.743528937,0.737000694,,,,,,
7.4481,6.684887039,6.722764178,6.729311632,,,,0.763212961,0.725335822,0.718788368,,,,,,
7.43705,6.684394321,6.722270272,6.728844013,,,,0.752655679,0.714779728,0.708205987,,,,,,
7.416725,6.683702432,6.721576772,6.728189325,,,,0.733022568,0.695148228,0.688535675,,,,,,
7.3898125,6.682621409,6.720493251,6.727167624,,,,0.707191091,0.669319249,0.662644876,,,,,,
7.35715625,6.681233113,6.719101732,6.725856047,,,,0.675923137,0.638054518,0.631300203,,,,,,
7.322278125,6.679691631,6.71755664,6.72440007,,,,0.642586494,0.604721485,0.597878055,,,,,,
7.289939063,6.678977625,6.716840949,6.723725721,,,,0.610961438,0.573098114,0.566213342,,,,,,
7.261269531,6.678165892,6.716026405,6.7229297,,,,0.583103639,0.545243126,0.538339831,,,,,,
7.243784766,6.678441956,6.71630401,6.72321981,,,,0.56534281,0.527480756,0.520564956,,,,,,
7.235042383,6.678542135,6.716404795,6.723326669,,,,0.556500248,0.518637588,0.511715714,,,,,,
7.230671191,6.678289384,6.716151038,6.72307451,,,,0.552381807,0.514520153,0.507596681,,,,,,
7.228485596,6.678276574,6.716138217,6.723063027,,,,0.550209022,0.512347379,0.505422569,,,,,,
7.2147,6.678270168,6.716131805,6.723057285,,,,0.536429832,0.498568195,0.491642715,,,,,,
7.2263,6.677696713,6.71555699,6.722515941,,,,0.548603287,0.51074301,0.503784059,,,,,,
7.2262,6.678149637,6.716010994,6.722943698,,,,0.548050363,0.510189006,0.503256302,,,,,,
7.2152,6.678263172,6.7161248,6.723050946,,,,0.536936828,0.4990752,0.492149054,,,,,,
7.20175,6.67764232,6.715502471,6.722464714,,,,0.52410768,0.486247529,0.479285286,,,,,,
7.177475,6.677105814,6.714964682,6.72195812,,,,0.500369186,0.462510318,0.45551688,,,,,,
7.1460875,6.676273282,6.714130151,6.721172064,,,,0.469814218,0.431957349,0.424915436,,,,,,
7.10479375,6.675123442,6.712977533,6.720086486,,,,0.429670308,0.391816217,0.384707264,,,,,,
7.051296875,6.673476873,6.711326945,6.718532096,,,,0.377820002,0.33996993,0.332764779,,,,,,
6.993098438,6.671639138,6.709484673,6.716797472,,,,0.3214593,0.283613765,0.276300966,,,,,,
6.961849219,6.669762765,6.70760361,6.715026625,,,,0.292086454,0.254245609,0.246822594,,,,,,
6.949774609,6.668374402,6.706211739,6.713716503,,,,0.281400207,0.24356287,0.236058106,,,,,,
6.947487305,6.669068506,6.706907601,6.714371473,,,,0.278418799,0.240579704,0.233115832,,,,,,
6.948630957,6.669415609,6.70725558,6.714699019,,,,0.279215348,0.241375377,0.233931938,,,,,,
6.949202783,6.668531606,6.706367427,6.713795535,,,,0.280671177,0.242835356,0.235407248,,,,,,
6.949488696,6.666087838,6.7039129,6.711323643,,,,0.283400858,0.245575796,0.238165053,,,,,,
6.949631653,6.664130053,6.701946543,6.70934502,,,,0.2855016,0.24768511,0.240286633,,,,,,
6.949703131,6.665057903,6.702878379,6.710279981,,,,0.284645228,0.246824752,0.23942315,,,,,,
6.94973887,6.665521877,6.703344346,6.71074751,,,,0.284216993,0.246394524,0.23899136,,,,,,
6.9306,6.665753878,6.703577343,6.710981288,,,,0.264846122,0.227022657,0.219618712,,,,,,
6.9377,6.66586988,6.703693845,6.711098179,,,,0.27183012,0.234006155,0.226601821,,,,,,
